bundesland,faelle,tod,lat,long,datum
Baden-Württemberg,277,0,48.5,9.0,2020-03-11
Bayern,366,0,48.9,11.4,2020-03-11
Berlin,90,0,52.5,13.4,2020-03-11
Brandenburg,24,0,52.0,13.87,2020-03-11
Bremen,21,0,53.1,8.8,2020-03-11
Hamburg,48,0,53.5,10.0,2020-03-11
Hessen,48,0,50.7,9.0,2020-03-11
Mecklenburg-Vorpommern,17,0,53.8,12.5,2020-03-11
Niedersachsen,75,0,52.57,10.0,2020-03-11
Nordrhein-Westfalen,484,3,51.6,7.5,2020-03-11
Rheinland-Pfalz,25,0,50.0,7.3,2020-03-11
Saarland,14,0,49.4,6.97,2020-03-11
Sachsen,26,0,51.05,13.5,2020-03-11
Sachsen-Anhalt,15,0,52.0,11.65,2020-03-11
Schleswig-Holstein,27,0,54.2,9.9,2020-03-11
Thüringen,10,0,50.85,11.13,2020-03-11
Gesamt,1567,3,51.06,10.0,2020-03-11
